2020-06-17 00:41:00 INFO  com.utilities.base.TestBase 26 - Config Properties File path: C:\Users\arath\eclipse\com.pageobjectmodel\src\main\resources\properties\conf.properties
2020-06-17 00:41:05 INFO  com.utilities.base.TestBase 58 - launched the browser ch
2020-06-17 00:41:07 INFO  com.utilities.base.TestBase 10 - Test Data Properties File path: C:\Users\arath\eclipse\com.pageobjectmodel\src\main\resources\properties\testdata.properties
2020-06-17 00:41:08 INFO  com.utilities.base.TestBase 74 - Launching the AppURL https://login.salesforce.com/
2020-06-17 00:41:09 INFO  loginSalesforceApp 24 - launched saleforceAPP URL successfuly
2020-06-17 00:41:10 INFO  com.utilities.base.TestBase 93 - Element is displayed [[ChromeDriver: chrome on WINDOWS (be523cf22cbd9a02ead32eb74127aa68)] -> id: logo]
2020-06-17 00:41:10 INFO  com.utilities.base.TestBase 164 - passing value to element parameters... [[ChromeDriver: chrome on WINDOWS (be523cf22cbd9a02ead32eb74127aa68)] -> id: username]
2020-06-17 00:41:10 INFO  com.utilities.base.TestBase 164 - passing value to element parameters... [[ChromeDriver: chrome on WINDOWS (be523cf22cbd9a02ead32eb74127aa68)] -> id: password]
2020-06-17 00:41:10 INFO  pomloginSalesforceApp 104 - Input is invalid username and password on login page
2020-06-17 00:41:11 INFO  com.utilities.base.TestBase 171 - Element is displayed and perform click... [[ChromeDriver: chrome on WINDOWS (be523cf22cbd9a02ead32eb74127aa68)] -> id: Login]
2020-06-17 00:41:12 INFO  com.utilities.base.TestBase 93 - Element is displayed [[ChromeDriver: chrome on WINDOWS (be523cf22cbd9a02ead32eb74127aa68)] -> id: error]
2020-06-17 00:41:12 INFO  com.utilities.base.TestBase 93 - Element is displayed [[ChromeDriver: chrome on WINDOWS (be523cf22cbd9a02ead32eb74127aa68)] -> id: error]
2020-06-17 00:41:12 INFO  pomloginSalesforceApp 113 - Gives Login Error Message for invalid credentialsPlease check your username and password. If you still can't log in, contact your Salesforce administrator.
2020-06-17 00:41:13 INFO  com.utilities.base.TestBase 93 - Element is displayed [[ChromeDriver: chrome on WINDOWS (be523cf22cbd9a02ead32eb74127aa68)] -> id: logo]
